# Sparse arbitrary-amplitude multi-initial states for examples/bv100.qasm.
# Format: <label> <100-bit-basis>:<amplitude> <100-bit-basis>:<amplitude> ...
# Each state below is normalized with four nonzero amplitudes of magnitude 0.5.
arb00 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000:0.5 0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000:0.5 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000:0.5 1100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000:0.5
arb01 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000:0.5 0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000:-0.5 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000:0.5 1100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000:-0.5
arb02 0001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101:0.5 0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101:0.5i 1001010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101:-0.5 1101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101:-0.5i
arb03 0011001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011:0.5 0111001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011:-0.5i 1011001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011:-0.5 1111001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011:0.5i
arb04 0000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000:0.5 0100111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000:0.5 1000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000:0.5 1100111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000:0.5
arb05 0000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111:0.5 0100000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111:-0.5 1000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111:0.5 1100000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111:-0.5
arb06 0000011111000001111100000111110000011111000001111100000111110000011111000001111100000111110000011111:0.5 0100011111000001111100000111110000011111000001111100000111110000011111000001111100000111110000011111:0.5i 1000011111000001111100000111110000011111000001111100000111110000011111000001111100000111110000011111:-0.5 1100011111000001111100000111110000011111000001111100000111110000011111000001111100000111110000011111:-0.5i
arb07 0010011001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110:0.5 0110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110:-0.5i 1010011001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110:-0.5 1110011001100110011001100110011001100110011001100110011001100110011001100110011001100110011001100110:0.5i
arb08 0000000001000000000100000000010000000001000000000100000000010000000001000000000100000000010000000001:0.5 0100000001000000000100000000010000000001000000000100000000010000000001000000000100000000010000000001:0.5 1000000001000000000100000000010000000001000000000100000000010000000001000000000100000000010000000001:0.5 1100000001000000000100000000010000000001000000000100000000010000000001000000000100000000010000000001:0.5
arb09 0010010010001001001000100100100010010010001001001000100100100010010010001001001000100100100010010010:0.5 0110010010001001001000100100100010010010001001001000100100100010010010001001001000100100100010010010:-0.5 1010010010001001001000100100100010010010001001001000100100100010010010001001001000100100100010010010:0.5 1110010010001001001000100100100010010010001001001000100100100010010010001001001000100100100010010010:-0.5
